user_name,product_id,category, actual_price ,rating_count
"Manav,Adarsh gupta,Sundeep,S.Sayeed Ahmed,jaspreet singh,Khaja moin,Anand,S.ARUMUGAM",B07JW9H4J1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables," ₹1,099 ","24,269"
"ArdKn,Nirbhay kumar,Sagar Viswanathan,Asp,Placeholder,BharanI,sonia,Niam",B098NS6PVG,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹349 ,"43,994"
"Kunal,Himanshu,viswanath,sai niharka,saqib malik,Aashiq,Ramu Challa,Sanjay gupta",B096MSW6CT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables," ₹1,899 ","7,928"
"Omkar dhale,JD,HEMALATHA,Ajwadh a.,amar singh chouhan,Ravi Siddan,Himanshu Goel,Udaykumar",B08HDJ86NZ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹699 ,"94,363"
"rahuls6099,Swasat Borah,Ajay Wadke,Pranali,RVK,Bhargav,Durai Vignesh,Amazon Customer",B08CF3B7N1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹399 ,"16,905"
"Jayesh,Rajesh k.,Soopy,amazon customer,Aman,Shankar,dinesh,Chitra,Ajaybabu.O.M",B08Y1TFSP6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables," ₹1,000 ","24,871"
"Vivek kumar,Amazon Customer,SARTHAK,Chiranjeevi,V V GIRI KUMAR,Rajnandini,Akshay Talla,sudhanshu chaubey",B08WRWPM22,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹499 ,"15,188"
"Pavan A H,Jayesh bagad,Shridhar,rajendran,karuppu k,Akshay wani,Abbimaniu Singh,VISHAL H BADSHE",B08DDRGWTJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹299 ,"30,411"
"Azhar JuMan,Anirudh Sood,Hari Krishnan PS,Akash Jindal,PRADEEP,Rajesh,Divya Kothari,abhijit",B008IFXQFU,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters, ₹999 ,"1,79,691"
"ArdKn,Nirbhay kumar,Sagar Viswanathan,Asp,Placeholder,BharanI,sonia,Niam",B082LZGK39,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹299 ,"43,994"
"Tanya,Anu,Akshay,Vishal Sagara Shetty,Swatilekha Sarkar,Jithindas,IBRAHIM S,Sundaram J.",B08CF3D7QR,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹339 ,"13,391"
"Omkar dhale,JD,HEMALATHA,Ajwadh a.,amar singh chouhan,Ravi Siddan,Himanshu Goel,Udaykumar",B0789LZTCJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹799 ,"94,363"
"Rishav Gossain,Shashank Mallamraju,Purnendu,gunasekaran desomayananam,Anto RK,Sukrit Basak,Manoj Kumar,Sethuram.S",B07KSMBL2H,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables", ₹700 ,"4,26,973"
"Priya,Mansi,Plaban,Vivek,Taufique Ahmed,Praveen kumar,Robbin,arjun sharma",B085DTN6R2,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹899 ,"2,262"
"Deepaak Singh,siva k.,MUNDATH BALGOPAL,BOOPATHI,Rakesh,Ana,Xolo,Rushi",B09KLVMZ3B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹399 ,"4,768"
"Birendra ku Dash,Aditya Gupta,Abdulla A N,Deepak,Gowtham,Rakesh,Pawan Kumar,Prabhat Raj Pathak",B083342NKJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹399 ,"18,757"
"Manoj maddheshiya,Manoj Kumar Sahoo,Saumil s.,Jean-Louis M.,Mahesh,syed azhar abbas,prabakaran,Sidhu",B0B6F7LX4C,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"," ₹24,999 ","32,840"
"ArdKn,Nirbhay kumar,Sagar Viswanathan,Asp,Placeholder,BharanI,sonia,Niam",B082LSVT4B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹399 ,"43,994"
"Rohan Narkar,JAGWINDER SINGH,Gursewak Singh,Avii,Amit Sharma,Ritesh Agarwala,Rahul hardaha,Amazon Customer",B08WRBG3XW,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹499 ,"13,045"
"NIRMAL.N,Manoj kumar,SOMNATH DAS,Harsha,Pradhut Roy,MAHENDRA NATH DAS,Naveen Kumar,Gopi Sahu",B08DPLCM6T,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"," ₹21,990 ","11,976"
"Prasannavijayaraghavan G.,Preet Sikka,Theeban Raj,Nishikant,Gurpreet S.,Manoj,SP,Ashutosh",B09C6HXFC1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables," ₹1,799 ",815
"aditya d.,Paranthaman,ashik rahman c,Rajas c.,Madan Tejaswi,Sumit,chaitanya srikrishna,subeh sharma",B085194JFL,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables", ₹499 ,"10,962"
"Rahman Ali,MARIYA DASS,Md Aftab,roshan s.,Mohan,Devendu Sawant,Shek hussain,Prathap Pathaneni",B09F6S8BT6,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"," ₹22,900 ","16,299"
"$@|\|TO$|-|,Sethu madhav,Akash Thakur,Burger Planet,Justice ⚖️,indrajyoti d.,Aditya Kumar,E.C.GEORGE",B09NHVCHS9,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹199 ,"9,378"
"Ayush,ROHIT A.,Kedar,Haran,Santosh Ghante,KRISHNENDU,Harindra,sangamesh",B0B1YVCJ2Y,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"," ₹19,990 ","4,703"
"Yashpreet Singh,Abiram,Aakaash Ramchandani,Amit katoch,Avijit Basak,Anirban B.,Dass,Gopalakrishnan",B01M4GGIVU,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables", ₹699 ,"12,153"
"ATHARVA BONDRE,Sujitkumar Thorat,Chandrasekara rajasekara reddy,J vasanth,Placeholder,roshan,Boopathi,Rajesh",B08B42LWKN,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"," ₹19,999 ","34,899"
"Anand sarma,lokeshnist,C,SAI KIRAN,Amazon Customer,Jagdeesh singh,Kalpit Sultania,gopi",B094JNXNPV,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹399 ,"2,766"
"Amazon Customer,Govind Gujarathi,Vihari,shalem,Tejas,RADHA krishanan,Vasudeva Govindraju,Amazon Customer",B09W5XR9RT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables," ₹1,999 ",184
"GHOST,Amazon Customer,A Vase,Mani Jha,Anu B,Ganesh Inguva,Prabhu,Amazon Customer",B077Z65HSD,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹999 ,"20,850"
"Pravin Kumar,Maestrov,rag,Mukundha2good,Amazon_Shopper,Sonic,Pratap,Amazon Customer",B00NH11PEY,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹750 ,"74,976"
"Rishabh,Amazon Customer,Darpan chauhan,Kumar Ketan,Amazon Customer,jayaprathap,Nirmal,Mihul pandey",B09CMM3VGK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables, ₹499 ,"1,934"
